keys,es,pt,en
BONUS_CHAIN_INTACT,CADENA INTACTA,SEQUÊNCIA INTACTA,CHAIN INTACT
BONUS_ACCURACY,PRECISION {percent}%,PRECISÃO {percent}%,ACCURACY {percent}%
BONUS_UNDER_PAR,BAJO PAR {seconds}s,ABAIXO DO PAR {seconds}s,UNDER PAR {seconds}s
BONUS_AMMO_LEFT,MUNICION SOBRANTE {amount},MUNIÇÃO RESTANTE {amount},AMMO LEFT {amount}
BONUS_TIME_LEFT,TIEMPO SOBRANTE {seconds}s,TEMPO RESTANTE {seconds}s,TIME LEFT {seconds}s
BONUS_ALL_ROOMS_CLEAN,TODAS LAS SALAS LIMPIAS,TODAS AS SALAS LIMPAS,ALL ROOMS CLEAN
BONUS_PERFECT_LEVEL,NIVEL PERFECTO,NÍVEL PERFEITO,PERFECT LEVEL
LOG_ROUND_STARTED,RONDA INICIADA,RODADA INICIADA,ROUND STARTED
LOG_ROUND_STANDBY,RONDA EN ESPERA,RODADA EM ESPERA,ROUND STANDBY
LOG_HIT,IMPACTO // {target},ACERTO // {target},HIT // {target}
LOG_TARGET_LEFT,{target} SE ESCAPO // -{damage} HP,{target} ESCAPOU // -{damage} HP,{target} LEFT // -{damage} HP
LOG_CROSSED,CRUZO {block} // -{damage} HP,CRUZOU {block} // -{damage} HP,CROSSED {block} // -{damage} HP
LOG_ROUND_FAILED,RONDA FALLIDA // SIN VIDA,RODADA FALHOU // SEM VIDA,ROUND FAILED // HP DEPLETED
LOG_ROUND_COMPLETE_EXIT,RONDA COMPLETA // SALIDA ALCANZADA,RODADA COMPLETA // SAÍDA ALCANÇADA,ROUND COMPLETE // EXIT REACHED
LOG_ROUND_COMPLETE_TIME,RONDA COMPLETA // TIEMPO AGOTADO,RODADA COMPLETA // TEMPO ESGOTADO,ROUND COMPLETE // TIME EXPIRED
LOG_BONUS,BONUS // {label} +{points},BÔNUS // {label} +{points},BONUS // {label} +{points}
LOG_PERFECT_ROOM,SALA PERFECTA // {room},SALA PERFEITA // {room},PERFECT ROOM // {room}
LOG_CEILING_UNREACHABLE,TECHO INALCANZABLE // {resolved}/{declared} OBJETIVOS,TETO INALCANÇÁVEL // {resolved}/{declared} ALVOS,CEILING UNREACHABLE // {resolved}/{declared} TARGETS
LOG_TRAP,TRAMPA // {value} // CADENA PERDIDA,ARMADILHA // {value} // SEQUÊNCIA PERDIDA,TRAP // {value} // CHAIN LOST
LOG_CHAIN,CADENA x{multiplier} // {hits} ACIERTOS,SEQUÊNCIA x{multiplier} // {hits} ACERTOS,CHAIN x{multiplier} // {hits} HITS
LOG_HIT_TAKEN,GOLPE RECIBIDO // {pot} GUARDADO A x1,DANO RECEBIDO // {pot} GUARDADO A x1,HIT TAKEN // {pot} BANKED AT x1
LOG_SCORE,PUNTAJE {score} // {rank},PONTOS {score} // {rank},SCORE {score} // {rank}
LOG_CHAIN_TIMED_OUT,CADENA VENCIDA // {pot} GUARDADO,SEQUÊNCIA EXPIRADA // {pot} GUARDADO,CHAIN TIMED OUT // {pot} BANKED
LOG_ROOM_CLEARED,SALA LIMPIA // {pot} x{multiplier} = {awarded},SALA LIMPA // {pot} x{multiplier} = {awarded},ROOM CLEARED // {pot} x{multiplier} = {awarded}
LOG_CHAIN_DROP,{label} // x{from} -> x{to},{label} // x{from} -> x{to},{label} // x{from} -> x{to}
LOG_DROP_MISS,FALLASTE,ERROU,MISSED
LOG_DROP_TIMEOUT,SIN TIEMPO,SEM TEMPO,TIMED OUT
LOG_DROP_SPRAY,RAFAGA,RAJADA,SPRAY
LOG_ENTERED,ENTRASTE // {room},ENTROU // {room},ENTERED // {room}
LOG_FINAL_ROOM,SALA FINAL // LIMPIALA PARA TERMINAR,SALA FINAL // LIMPE PARA TERMINAR,FINAL ROOM // CLEAR IT TO FINISH
LOG_RESULTS_IN,RESULTADOS EN {seconds}S,RESULTADOS EM {seconds}S,RESULTS IN {seconds}S
LOG_NO_NEXT_LEVEL,NO HAY NIVEL SIGUIENTE,NÃO HÁ PRÓXIMO NÍVEL,NO NEXT LEVEL
LOG_NO_PREVIOUS_LEVEL,NO HAY NIVEL ANTERIOR,NÃO HÁ NÍVEL ANTERIOR,NO PREVIOUS LEVEL
LOG_ROOM_SEALED,{room} SELLADA,{room} SELADA,{room} SEALED
LOG_ROOM_CLEAR,{room} LIMPIA // PUERTAS ABIERTAS,{room} LIMPA // PORTAS ABERTAS,{room} CLEAR // DOORS OPEN
LOG_AMMO_REWARD,{room} // +{amount} BALAS,{room} // +{amount} BALAS,{room} // +{amount} ROUNDS
LOG_WAVE,{block} // OLEADA {wave}/{total} // {targets} OBJETIVOS,{block} // ONDA {wave}/{total} // {targets} ALVOS,{block} // WAVE {wave}/{total} // {targets} TARGETS
LOG_BLOCK_CLOSED,{block} CERRADO,{block} FECHADO,{block} CLOSED
LOG_LAB_CONFIGURED,LABORATORIO LISTO // ENTRA A LA SALA,LABORATÓRIO PRONTO // ENTRE NA SALA,LAB CONFIGURED // ENTER THE ROOM
LOG_BLOCK_DEPLOYED,BLOQUE {slot} DESPLEGADO,BLOCO {slot} IMPLANTADO,{slot} BLOCK DEPLOYED
